"Category","Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"Existing","8535-001-029","Warehousing, Distribution, Storage","1999","2","38000"
"Existing","8378-027-009","Warehousing, Distribution, Storage","1999","2","38000"
"Existing","8264-002-023","Warehousing, Distribution, Storage","1983","2","38000"
"Existing","8208-020-056","Warehousing, Distribution, Storage","2003","2","38000"
"Existing","8169-004-051","Warehousing, Distribution, Storage","1986","2","38000"
"Existing","8168-001-033","Warehousing, Distribution, Storage","1988","2","38000"
"Existing","8059-030-039","Warehousing, Distribution, Storage","2017","2","38000"
"Existing","8011-005-030","Warehousing, Distribution, Storage","2000","2","38000"
"Existing","8009-025-045","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","8009-023-016","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","8009-022-064","Warehousing, Distribution, Storage","2001","2","38000"
"Existing","8005-019-037","Warehousing, Distribution, Storage","2003","2","38000"
"Existing","8005-019-036","Warehousing, Distribution, Storage","2003","2","38000"
"Existing","7432-024-030","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","7411-016-029","Warehousing, Distribution, Storage","2006","2","38000"
"Existing","7352-018-059","Warehousing, Distribution, Storage","1989","2","38000"
"Existing","7339-013-013","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","7318-021-031","Warehousing, Distribution, Storage","1981","2","38000"
"Existing","7318-021-019","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","7316-027-015","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","7306-013-044","Warehousing, Distribution, Storage","1997","2","38000"
"Existing","7306-012-083","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","7303-012-051","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","7259-021-035","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","7049-021-007","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","7005-006-066","Warehousing, Distribution, Storage","1998","2","38000"
"Existing","6354-037-007","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","6353-017-011","Warehousing, Distribution, Storage","1983","2","38000"
"Existing","6348-020-036","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","6336-012-024","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","6335-014-022","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","6332-007-004","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","6310-004-012","Warehousing, Distribution, Storage","1988","2","38000"
"Existing","6304-022-041","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","6304-021-032","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","6304-012-002","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","6284-026-023","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","6240-009-124","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","6236-031-017","Warehousing, Distribution, Storage","1990","2","38000"
"Existing","6204-033-017","Warehousing, Distribution, Storage","1982","2","38000"
"Existing","6164-017-039","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","6132-043-084","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","6132-041-023","Warehousing, Distribution, Storage","1988","2","38000"
"Existing","6129-019-048","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","6129-011-037","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","6129-002-023","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","6126-011-005","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","6102-012-018","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","6046-020-001","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","6007-019-018","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","5827-013-029","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","5192-017-003","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","5171-021-032","Warehousing, Distribution, Storage","2004","2","38000"
"Existing","5169-034-018","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","5169-033-018","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","5167-012-019","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","5166-035-007","Warehousing, Distribution, Storage","1998","2","38000"
"Existing","4203-027-161","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","4126-015-004","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","4052-028-052","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","4051-022-024","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","3126-029-041","Warehousing, Distribution, Storage","1993","2","38000"
"Existing","2866-060-032","Warehousing, Distribution, Storage","2006","2","38000"
"Existing","2866-023-902","Warehousing, Distribution, Storage","1980","2","38000"
"Existing","2836-071-011","Warehousing, Distribution, Storage","2005","2","38000"
"Existing","2327-016-030","Warehousing, Distribution, Storage","1985","2","38000"
"Existing","2317-019-032","Warehousing, Distribution, Storage","1980","2","38000"
"Planned and Approved","duke warehouse","TBD","2025","2","38000"
"Planned and Approved","duke warehouse","TBD","2025","2","38000"
"Existing","156310034","warehouse/dry storage","1999","2","37000"
"Existing","626330029","warehouse/dry storage","1990","2","37000"
"Existing","011336158","storage warehouse","2006","2","37000"
"Existing","011335124","storage warehouse","2008","2","37000"
"Existing","011335118","storage warehouse","2006","2","37000"
"Existing","011335120","storage warehouse","2006","2","37000"
"Existing","011339545","storage warehouse","2002","2","37000"
"Existing","011364101","storage warehouse","1999","2","37000"
"Existing","011364105","storage warehouse","1999","2","37000"
"Existing","011364107","storage warehouse","2000","2","37000"
"Existing","018355104","storage warehouse","1980","2","37000"
"Existing","021127542","storage warehouse","2001","2","37000"
"Existing","023824117","storage warehouse","1989","2","37000"
"Existing","029215735","storage warehouse","2020","2","37000"
"Existing","041518103","storage warehouse","1992","2","37000"
"Existing","100763104","storage warehouse","1980","2","37000"
"Existing","104909505","storage warehouse","1980","2","37000"
"Existing","104906815","storage warehouse","1980","2","37000"
"Existing","309039101","storage warehouse","1980","2","37000"
"Existing","8719-006-015","Warehousing, Distribution, Storage","2002","2","37000"
"Existing","8707-015-052","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","8564-013-005","Warehousing, Distribution, Storage","2008","2","37000"
"Existing","8535-001-025","Warehousing, Distribution, Storage","1999","2","37000"
"Existing","8437-019-013","Warehousing, Distribution, Storage","2017","2","37000"
"Existing","8435-011-002","Warehousing, Distribution, Storage","1987","2","37000"
"Existing","8327-016-015","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","8264-004-081","Warehousing, Distribution, Storage","1989","2","37000"
"Existing","8242-030-003","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","8242-024-096","Warehousing, Distribution, Storage","2009","2","37000"
"Existing","8242-009-804","Warehousing, Distribution, Storage","2001","2","37000"
"Existing","8208-020-046","Warehousing, Distribution, Storage","2003","2","37000"
"Existing","8202-033-023","Warehousing, Distribution, Storage","2008","2","37000"
"Existing","8168-023-042","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","8168-002-404","Warehousing, Distribution, Storage","1998","2","37000"
"Existing","8140-030-036","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","8118-001-019","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","8109-001-041","Warehousing, Distribution, Storage","1992","2","37000"
"Existing","8011-020-020","Warehousing, Distribution, Storage","1993","2","37000"
"Existing","8011-014-077","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","8005-008-028","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","7418-010-047","Warehousing, Distribution, Storage","1992","2","37000"
"Existing","7377-003-107","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","7352-014-052","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","7339-007-025","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","7319-004-046","Warehousing, Distribution, Storage","1984","2","37000"
"Existing","7319-003-098","Warehousing, Distribution, Storage","1989","2","37000"
"Existing","7306-007-040","Warehousing, Distribution, Storage","2008","2","37000"
"Existing","7306-003-033","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","7212-003-021","Warehousing, Distribution, Storage","2005","2","37000"
"Existing","7157-014-028","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","7157-012-025","Warehousing, Distribution, Storage","2002","2","37000"
"Existing","7102-001-028","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","7005-002-056","Warehousing, Distribution, Storage","2004","2","37000"
"Existing","7003-013-002","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","7001-014-037","Warehousing, Distribution, Storage","2004","2","37000"
"Existing","6369-004-011","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","6354-022-028","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","6353-001-021","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","6340-017-005","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","6336-020-018","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","6336-017-020","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","6336-012-041","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","6336-010-018","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","6336-010-017","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","6336-009-027","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","6336-007-050","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","6336-006-037","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","6332-011-005","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","6332-007-016","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","6310-002-010","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","6308-015-012","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","6308-001-044","Warehousing, Distribution, Storage","1989","2","37000"
"Existing","6304-020-037","Warehousing, Distribution, Storage","1997","2","37000"
"Existing","6302-009-016","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","6240-010-073","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","6240-009-058","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","6188-001-008","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","6129-010-055","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","6125-008-009","Warehousing, Distribution, Storage","1988","2","37000"
"Existing","5720-007-021","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","5627-018-021","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","5624-019-014","Warehousing, Distribution, Storage","2017","2","37000"
"Existing","5534-017-024","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","5409-004-010","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","5342-001-023","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","5243-021-016","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","5242-024-002","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","5170-010-003","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","5169-007-016","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","5167-019-024","Warehousing, Distribution, Storage","1980","2","37000"
"Existing","4134-005-002","Warehousing, Distribution, Storage","1980","2","37000"
